,can freq,num bins,idx,delta
0,51.40036357883106,1,39157,
1,59.98979902170172,1,279335,240178.0
2,60.68180901353922,1,298685,19350.0
3,62.49902367582547,1,349498,50813.0
4,62.789596346816666,1,357623,8125.0
5,64.19407264652945,1,396895,39272.0
6,66.67225519869378,1,466190,69295.0
7,68.22432453387495,1,509589,43399.0
8,69.10977545831446,1,534348,24759.0
9,72.00001688003701,1,615165,80817.0
10,77.20082065590103,2,760590,145425.0
11,77.44508051348501,1,767420,6830.0
12,77.689340371069,1,774250,6830.0
13,85.44453720517512,1,991101,216851.0
14,93.56612382565726,1,1218197,227096.0
15,93.62720667144839,1,1219905,1708.0
16,94.29890339840921,1,1238687,18782.0
17,94.35995048141007,2,1240394,1707.0
18,94.4210333272012,1,1242102,1708.0
19,95.03168297116117,1,1259177,17075.0
20,95.09273005416203,2,1260884,1707.0
21,95.15381289995317,1,1262592,1708.0
22,95.18435432284873,1,1263446,854.0
23,95.21485998295402,2,1264299,853.0
24,95.24540140584959,1,1265153,854.0
25,95.30648425164073,1,1266861,1708.0
26,95.33698991174602,2,1267714,853.0
27,95.52020268632914,1,1272837,5123.0
28,95.64229685233086,2,1276251,3414.0
29,95.76442678112286,3,1279666,3415.0
30,95.76517779971866,1,1279687,21.0
31,95.825509626914,1,1281374,1687.0
32,95.85605104980957,1,1282228,854.0
33,95.88655670991486,2,1283081,853.0
34,96.0000320434601,1,1286254,3173.0
35,96.00872240149712,1,1286497,243.0
36,96.06976948449798,1,1288204,1707.0
37,96.10031090739355,1,1289058,854.0
38,96.13085233028912,1,1289912,854.0
39,96.25298225908111,1,1293327,3415.0
40,96.31402934208197,2,1295034,1707.0
41,96.37507642508282,2,1296741,1707.0
42,96.43615927087396,1,1298449,1708.0
43,96.49720635387482,2,1300156,1707.0
44,96.55828919966595,1,1301864,1708.0
45,96.68041912845794,1,1305279,3415.0
46,96.71096055135351,1,1306133,854.0
47,97.04680891483392,1,1315524,9391.0
48,97.10789176062505,1,1317232,1708.0
49,97.65745855879388,1,1332599,15367.0
50,97.84063557058673,2,1337721,5122.0
51,98.39023813154584,1,1353089,15368.0
52,98.51236806033783,1,1356504,3415.0
53,100.00002861023222,1,1398102,41598.0
